lake_comid,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea
816331,0.214056216,19788.74158,0.49467928,0.214056216,4,92446.4629781
816335,0.594650581,7551.70435,1.222359959,0.594650581,4,12699.4044142
816337,1.395928881,77465.15488,2.715807441,1.395928881,4,55493.6043195
816349,0.228098269,5273.7873739999995,0.54651809,0.228098269,4,23120.6866943
816353,0.191834594,4225.801743,0.457850943,0.191834594,4,22028.3521218
816357,0.26988604,16483.28935,0.563064196,0.26988604,4,61075.0024671
816363,0.21739077,3145.22279,0.519424615,0.21739077,4,14468.053351
816367,0.172127981,2517.402438,0.397395254,0.172127981,4,14625.1818442
816785,0.542159757,52190.65943,0.982140773,0.542159757,4,96264.3744382
816787,0.055041817,1252.190573,0.10639111,0.055041817,4,22749.8049134
816789,0.113330743,2090.5706,0.236011627,0.113330743,4,18446.6320371
816795,0.50370863,61907.69047,1.138143611,0.50370863,4,122903.775322
816797,0.126861206,2739.910239,0.310891181,0.126861206,4,21597.7013351
816803,0.696268387,40202.66542,1.548709976,0.696268387,4,57740.1924318
816809,0.491175006,16473.24154,1.243669685,0.491175006,4,33538.4368204
816811,0.671224162,11785.13748,1.499623503,0.671224162,4,17557.6770572
816813,0.807230498,58134.68496,1.883214137,0.807230498,4,72017.4648169
816817,0.816417845,21834.48942,1.773017829,0.816417845,4,26744.2590049
816819,1.776597183,186654.4407,3.80552073,1.776597183,4,105062.897671
816843,0.646754925,14751.21654,1.415984655,0.646754925,4,22808.0458795
816845,0.814597438,8250.823212,1.680627017,0.814597438,4,10128.7122897
816855,0.186729007,4669.970926,0.406230747,0.186729007,4,25009.3393916
816857,0.162472031,2172.721089,0.335585823,0.162472031,4,13372.89068
816861,0.452599071,6870.328023,0.996098946,0.452599071,4,15179.7193185
816867,0.674356878,19763.57311,1.467992667,0.674356878,4,29307.2972275
816871,0.510290484,13043.53389,1.001949292,0.510290484,4,25560.9960982
816875,0.381954113,9053.655709,0.796176039,0.381954113,4,23703.5114884
816885,0.315006769,28463.72886,0.623001422,0.315006769,4,90359.0387839
816887,2.175700098,1897500.976,5.014010068,2.175700098,4,872133.388764
816893,0.350247963,124933.8669,0.812129543,0.350247963,4,356701.168531
816905,0.243904857,15060.18412,0.427836241,0.243904857,4,61746.1508561
4289003,1.766627788,260910.7337,4.18037253,1.766627788,4,147688.581833
4289009,0.272567967,9007.535968,0.68759293,0.272567967,4,33046.9438042
4289013,0.225482889,3581.951389,0.482956391,0.225482889,4,15885.689516
4289029,0.215833529,13900.55815,0.369558048,0.215833529,4,64404.0738182
4289047,0.670428694,65317.63183,1.318611543,0.670428694,4,97426.6702046
4289053,0.201647663,5009.426446,0.470829361,0.201647663,4,24842.4718028
4289055,0.213786775,3174.964094,0.449975344,0.213786775,4,14851.0788411
4289061,0.336652744,66884.70588,0.799258681,0.336652744,4,198675.66224
4289065,0.710128887,48167.38152,1.559769547,0.710128887,4,67829.1101844
4289069,0.494646206,151959.8322,1.161694918,0.494646206,4,307209.154299
4289071,0.11993552,2135.813119,0.278990712,0.11993552,4,17808.0098571
817633,5.418127384,2142429.474,12.94877715,5.418127384,4,395418.804419
817641,0.33078314,5600.510902,0.761186866,0.33078314,4,16931.0630131
817645,0.151053215,5117.845687,0.280479801,0.151053215,4,33881.0770834
817663,0.454636207,22861.59908,0.618926187,0.454636207,4,50285.4669475
817725,0.301415253,6231.723585,0.672771867,0.301415253,4,20674.8749932
817727,1.721450335,452707.661,4.177276314,1.721450335,4,262980.346735
817807,2.275121122,370921.582,5.246730186,2.275121122,4,163033.8051
817809,2.672323448,952612.8293,7.547559198,2.672323448,4,356473.595205
817849,1.193867477,46498.8951,2.86195385,1.193867477,4,38948.1199604
817853,1.758709322,322222.8083,3.422437345,1.758709322,4,183215.5087
817877,5.281669939,21646006.96,18.70772662,5.281669939,4,4098326.3427
4287005,0.183919651,4500.881177,0.424005427,0.183919651,4,24472.0026658
4287011,0.773523483,15077.20088,1.602145601,0.773523483,4,19491.5858357
4287205,0.507176372,34706.4142,0.958971612,0.507176372,4,68430.6888068
120052046,3.752973243,24181919.73,11.20583592,3.752973243,4,6443396.62468
4287217,4.668440718,2341145.301,11.21159941,4.668440718,4,501483.349608
4287219,0.877190651,30841.17899,2.16425215,0.877190651,4,35159.0346754
4287223,1.164639126,93073.33583,1.759808094,1.164639126,4,79915.9940446
4287237,1.248574156,154005.0609,2.770337523,1.248574156,4,123344.730189
4287253,0.574650673,7831.685102,1.317344007,0.574650673,4,13628.6031265
4287263,2.8211455,873133.7385,7.150570761,2.8211455,4,309496.144633
4287267,0,0,0,0.45,13,7304.30105453
4287275,0.958964819,156303.1021,2.206172228,0.958964819,4,162991.470655
4288047,1.079249955,35180.01267,2.180347982,1.079249955,4,32596.7268957
4288053,4.579768577,1188536.092,10.53282234,4.579768577,4,259518.808977
4288057,0.44198225,11483.889,0.890609768,0.44198225,4,25982.6843928
4288061,0.693498064,71414.83174,1.343414258,0.693498064,4,102977.711377
4288067,0.311202682,11534.50965,0.708905915,0.311202682,4,37064.3092222
4288075,0.694121411,126576.6236,1.679375121,0.694121411,4,182354.344662
4288077,0.60765963,23991.81128,1.412559211,0.60765963,4,39482.3138984
4288083,0.435181036,314568.2379,1.054360704,0.435181036,4,722844.558808
4288825,0.147002832,2305.912747,0.335513904,0.147002832,4,15686.1813442
4288827,0.748156329,62099.18048,1.28697084,0.748156329,4,83002.9410739
4288829,1.30997072,109738.0154,2.697654878,1.30997072,4,83771.3684806
4290149,2.561351525,751932.736,6.595539922,2.561351525,4,293568.662857
4290157,5.227029676,7240427.468,13.48806715,5.227029676,4,1385189.58923
4290159,0.396359352,38827.35007,0.730453891,0.396359352,4,97959.9595736
4290163,5.951677375,30192191.44,14.12843613,5.951677375,4,5072887.92145
4290165,3.527547608,1602642.575,8.504729845,3.527547608,4,454322.015488
4290167,0.285681392,8496.157515,0.626854688,0.285681392,4,29739.9712496
4290211,1.666722426,326735.9821,3.594665462,1.666722426,4,196035.014631
4290227,4.4108592,3329342.962,10.57991652,4.4108592,4,754805.935275
4290235,5.053214528,903877.0219,11.6004256,5.053214528,4,178871.658999
4290253,0.705547486,73817.39794,1.472331638,0.705547486,4,104624.29322
4290255,3.38032506,599442.0106,7.430094512,3.38032506,4,177332.65588
4290259,0.899828721,387094.9962,2.430445768,0.899828721,4,430187.441458
4290403,4.596049604,22142151.56,12.13147404,4.596049604,4,4817648.45621
4290531,0.235482766,13323.69619,0.553644743,0.235482766,4,56580.3427832
4290545,0.326754657,6897.568664,0.763862528,0.326754657,4,21109.31798
4290547,0.959918957,335667.3074,2.552145397,0.959918957,4,349682.94883
803387,2.781196045,1776273.716,7.32624151,2.781196045,4,638672.639554
803413,5.221062352,110064003.3,21.67247524,5.221062352,4,21080768.2906
806235,0.116768423,19991.50426,0.300347772,0.116768423,4,171206.448864
806251,0.73176384,270957.3905,2.024741215,0.73176384,4,370279.81383
